[time counter], distance to enemy, alt distance to enemy, direction to enemy, enemy speed, friend speed, distance to friend, alt distance to friend, speed direct to friend, self speed, speed direct to enemy, is locked by msl, is in guide, remaining msl, enemy in rdr, n msl locked, our n msl
[97800], 87886.351563, -5941.801758, 1.609574, 251.454010, 246.395416, 36988.104545, -5941.579590, 0.149722, 320.659241, 2.983079, 0, 0, 6, 1, 0, 0
[106200], 83644.125000, -5578.822510, 1.615256, 252.148972, 246.390778, 36753.287332, -5576.820557, 0.317664, 323.547729, 2.795847, 0, 0, 6, 1, 0, 0
[114000], 78757.812500, -5025.059570, 1.617846, 247.826630, 246.385574, 36770.972543, -5023.725098, 0.166273, 326.476074, 2.956853, 0, 0, 6, 2, 0, 0
[121800], 74264.437500, -4631.508545, 1.619674, 254.544052, 246.381226, 36980.001643, -4631.168701, 0.138126, 329.868927, 2.983640, 0, 0, 6, 2, 0, 0
[130200], 69428.406250, -4410.079590, 1.621263, 252.088730, 246.377197, 37220.992246, -4407.107910, 0.074391, 333.244354, 3.077186, 0, 0, 6, 2, 0, 0
[138600], 65035.257813, -4247.422852, 1.622932, 247.317078, 246.371841, 37450.743693, -4245.704590, 0.065242, 335.561340, 3.079036, 0, 0, 6, 2, 0, 0
[146400], 60014.183594, -4160.771240, 1.625692, 246.783340, 246.367203, 37750.625332, -4158.961182, 0.059709, 336.857086, 3.068966, 0, 0, 6, 2, 0, 0
[154800], 55456.792969, -4098.828857, 1.628097, 247.652267, 246.361984, 38065.082986, -4096.768799, 0.054071, 337.796021, 3.101569, 0, 0, 6, 1, 0, 0
[162600], 50561.257813, -4061.626709, 1.630913, 255.340424, 246.356491, 38340.487070, -4059.495850, 0.062028, 338.252380, 3.095755, 0, 0, 6, 1, 0, 0
[171000], 45987.492188, -4040.413330, 1.634205, 251.787720, 246.351578, 38698.266055, -4039.607178, 0.059285, 338.622437, 3.083617, 0, 0, 6, 1, 0, 0
[178800], 41138.882813, -4022.626709, 1.637892, 258.102234, 246.346817, 39049.168442, -4020.635010, 0.063401, 338.819611, 3.098350, 0, 0, 6, 1, 0, 0
[187200], 36571.941406, -4015.515381, 1.641795, 253.654480, 246.342941, 39495.227808, -4015.075439, 0.066919, 338.922333, 3.100496, 0, 0, 6, 1, 0, 0
[195000], 31676.001953, -4012.279053, 1.647403, 250.879486, 246.337524, 39840.823551, -4009.062256, 0.069618, 339.012909, 3.091208, 0, 0, 6, 1, 0, 0
[203400], 27142.492188, -4012.364990, 1.653537, 252.612198, 246.332672, 40284.705835, -4005.663330, 0.076497, 339.030945, 3.056730, 0, 0, 6, 1, 0, 0
[211200], 22456.261719, -4007.638428, 1.662061, 248.440475, 246.327469, 40668.104382, -4005.358154, 0.081631, 339.119843, 3.095734, 0, 0, 6, 1, 0, 0
[219600], 17833.634766, -4007.801514, 1.674332, 252.840469, 246.323364, 41268.363196, -4000.018311, 0.088466, 339.119293, 3.064155, 0, 0, 6, 1, 0, 0
[227400], 13240.178711, -4014.420410, 1.693257, 251.948563, 246.317795, 41704.190436, -4004.292480, 0.099135, 339.127502, 3.046347, 0, 0, 6, 1, 0, 0
[235200], 9009.438477, -4008.893066, 1.728050, 251.185593, 246.312744, 42274.926838, -4000.462402, 0.116811, 339.165039, 3.052425, 0, 0, 6, 1, 0, 0
[243600], 5056.282715, -4016.724609, 1.871098, 249.992203, 246.307556, 42803.294748, -4001.195313, 0.144508, 339.112793, 3.001573, 0, 0, 6, 1, 0, 0
